번호,등록번호,자료명,저자,출판사,출판년도,청구기호,등록일,자료상태,소장처
4084,KM00020452,"그때, 맥주가 있었다",미카 리싸넨;유하 타흐바나이넨 [공]지음;이상원;장혜경 [공]옮김,니케북스,2017,573.42 리52ㄱ,2021-11-15,대출가능,도서관
4085,KM00020451,언더그라운드 레일로드,콜슨 화이트헤드 지음;황근하 옮김,은행나무,2017,843 화68ㅇ,2021-11-15,대출가능,도서관
4086,KM00020450,잡담의 인문학,토머스 W. 호지킨슨;휴버트 반 덴 베르그 [공]지음;박홍경 옮김,마리書舍,2017,001.3 호78ㅈ,2021-11-15,대출가능,도서관
4087,KM00020449,인간증발,레나 모제 지음;스테판 르마엘 사진;이주영 옮김,책세상,2017,304 모74ㅇ,2021-11-15,대출가능,도서관
4088,KM00020448,소비의 역사,설혜심 지음,휴머니스트,2017,321.89 설94ㅅ,2021-11-15,대출가능,도서관
4089,KM00020447,서른의 반격,손원평 저,은행나무,2017,813.6 손66ㅅ,2021-11-15,대출가능,도서관
4090,KM00020446,구스타프 소나타,로즈 트레마인 지음;우진하 옮김,문학사상,2017,843 트294ㄱ,2021-11-15,대출가능,도서관
4091,KM00020445,인플레이션,하노 하;우르반 바허;마르코 헤르만 [같이]지음;강영욱 옮김,다산북스,2017,321.92 하92ㅇ,2021-11-15,대출가능,도서관
4092,KM00020444,모든 것의 기원,데이비드 버코비치 지음;박병철 옮김,책세상,2017,443.1 버875ㅁ,2021-11-15,대출가능,도서관
4093,KM00020443,우연의 설계,마크 뷰캐넌 외 지음;마이클 브룩스 엮음;김성훈 옮김,반니,2017,404 뷰873ㅇ,2021-11-15,대출가능,도서관
4094,KM00020442,스피치 세계사,앤드루 버넷 엮음;정미나 옮김,Humanist(휴머니스트 출판그룹),2017,040 버112ㅅ c.2,2021-11-15,대출가능,도서관
4095,KM00020441,미대입시 2021.7,미대입시사편집부 엮음,미대입시사,2008,031 미23 v.21-7,2021-07-13,대출가능,도서관
4096,KM00020440,(현직 동시통역사에게 직접 배우는)66일 영어회화 비밀과외,장경미 지음,길벗이지톡,2021,747.5 장14ㅇ,2021-07-13,대출가능,도서관
4097,KM00020439,양자 세계의 신비,티보 다무르 글;마티유 뷔르니아 그림;고민정 번역,거북이북스,2018,420.13 다36ㅇ c.3,2021-07-13,대출가능,도서관
4098,KM00020438,양자 세계의 신비,티보 다무르 글;마티유 뷔르니아 그림;고민정 번역,거북이북스,2018,420.13 다36ㅇ c.2,2021-07-13,대출가능,도서관
4099,KM00020437,기초디자인,김윤이 저;김용대 사진,미대입시사,2014,658 김66ㄱ c.2,2021-07-13,대출가능,도서관
4100,KM00020436,기초디자인,김윤이 저;김용대 사진,미대입시사,2014,658 김66ㄱ,2021-07-13,대출가능,도서관
4101,KM00020435,몽테뉴의 수상록,몽테뉴 지음;정영훈 엮음;안해린 옮김,메이트북스,2019,160.37 몽884ㅁ,2021-07-13,대출가능,도서관
4102,KM00020434,봄비 내리는 날,김한수 지음,창비,2020,813.6 김92ㅂ c.2,2021-07-12,대출가능,도서관
4103,KM00020433,봄비 내리는 날,김한수 지음,창비,2020,813.6 김92ㅂ,2021-07-12,대출가능,도서관
4104,KM00020432,모두 아름다운 아이들,최시한 지음,문학과지성사,2021,813.6 최58ㅁ c.2,2021-07-12,대출가능,도서관
4105,KM00020431,모두 아름다운 아이들,최시한 지음,문학과지성사,2021,813.6 최58ㅁ,2021-07-12,대출가능,도서관
4106,KM00020430,나는 아름답다,박상률 지음,사계절,2020,813.6 박52ㄴ c.2,2021-07-12,대출가능,도서관
4107,KM00020429,나는 아름답다,박상률 지음,사계절,2020,813.6 박52ㄴ,2021-07-12,대출가능,도서관
4108,KM00020428,할머니,페터 헤르틀링 지음;페터 크노르 그림;박양규 옮김,비룡소,1999,843 헤297ㅎ c.2,2021-07-12,대출가능,도서관
4109,KM00020427,할머니,페터 헤르틀링 지음;페터 크노르 그림;박양규 옮김,비룡소,1999,843 헤297ㅎ,2021-07-12,대출가능,도서관
4110,KM00020426,너도 하늘말나리야,이금이 지음;송진헌 그림,푸른책들,2007,813.8 이17ㄴ c.11,2021-07-12,대출가능,도서관
4111,KM00020425,너도 하늘말나리야,이금이 지음;송진헌 그림,푸른책들,2007,813.8 이17ㄴ c.10,2021-07-12,대출가능,도서관
4112,KM00020424,나의 산에서,진 크레이그헤드 조지 지음;김원구 옮김,비룡소,2010,843 조78ㄴ c.2,2021-07-12,대출가능,도서관
4113,KM00020423,나의 산에서,진 크레이그헤드 조지 지음;김원구 옮김,비룡소,2010,843 조78ㄴ,2021-07-12,대출가능,도서관
4114,KM00020422,딸들이 자라서 엄마가 된다,수지 모건스턴;알리야 모건스턴 [공]지음;최윤정 옮김,웅진지식하우스,2021,868 모14ㄸ c.2,2021-07-12,대출가능,도서관
4115,KM00020421,딸들이 자라서 엄마가 된다,수지 모건스턴;알리야 모건스턴 [공]지음;최윤정 옮김,웅진지식하우스,2021,868 모14ㄸ,2021-07-12,대출가능,도서관
4116,KM00020420,지상에 숟가락 하나,현기영 지음,창비,2019,813.6 현18ㅈ c.2,2021-07-12,대출가능,도서관
4117,KM00020419,지상에 숟가락 하나,현기영 지음,창비,2019,813.6 현18ㅈ,2021-07-12,대출가능,도서관
4118,KM00020418,19세,이순원 지음,세계사,1999,813.6 이56ㅅ c.2,2021-07-12,대출가능,도서관
4119,KM00020417,19세,이순원 지음,세계사,1999,813.6 이56ㅅ,2021-07-12,대출가능,도서관
4120,KM00020416,호밀밭의 파수꾼,J. D. 샐린저 지음;이덕형 옮김,문예출판사,2020,843 샐298ㅎ c.2,2021-07-12,대출가능,도서관
4121,KM00020415,호밀밭의 파수꾼,J. D. 샐린저 지음;이덕형 옮김,문예출판사,2020,843 샐298ㅎ,2021-07-12,대출가능,도서관
4122,KM00020414,아홉살 인생,위기철 글,현북스,2020,813.6 위18ㅇ c.2,2021-07-12,대출가능,도서관
4123,KM00020413,아홉살 인생,위기철 글,현북스,2020,813.6 위18ㅇ,2021-07-12,대출가능,도서관
4124,KM00020412,봄바람,박상률 지음,사계절,2020,813.6 박52ㅂ c.6,2021-07-12,대출가능,도서관
4125,KM00020411,봄바람,박상률 지음,사계절,2020,813.6 박52ㅂ c.5,2021-07-12,대출가능,도서관
4126,KM00020410,내 영혼이 따뜻했던 날들,포리스트 카터 지음;조경숙 옮김,아름드리미디어,2020,843 카884ㄴ c.2,2021-07-12,대출가능,도서관
4127,KM00020409,내 영혼이 따뜻했던 날들,포리스트 카터 지음;조경숙 옮김,아름드리미디어,2020,843 카884ㄴ,2021-07-12,대출가능,도서관
4128,KM00020408,돼지가 한 마리도 죽지 않던 날,로버트 뉴턴 펙 지음;김옥수 옮김,사계절,2020,843 펙295ㄷ c.2,2021-07-12,대출가능,도서관
4129,KM00020407,돼지가 한 마리도 죽지 않던 날,로버트 뉴턴 펙 지음;김옥수 옮김,사계절,2020,843 펙295ㄷ,2021-07-12,대출가능,도서관
4130,KM00020406,생각을 여는 그림,이명옥 지음,아트북스,2016,650.4 이34ㅅ c.2,2021-07-12,대출가능,도서관
4131,KM00020405,생각을 여는 그림,이명옥 지음,아트북스,2016,650.4 이34ㅅ,2021-07-12,대출가능,도서관
4132,KM00020404,랩으로 인문학 하기,박하재홍 지음,슬로비,2017,673.53 박92ㄹ c.2,2021-07-12,대출가능,도서관
4133,KM00020403,랩으로 인문학 하기,박하재홍 지음,슬로비,2017,673.53 박92ㄹ,2021-07-12,대출가능,도서관
4134,KM00020402,(청소년을 위한)사진 공부,홍상표 지음,지노,2019,662 홍52ㅅ c.3,2021-07-12,대출가능,도서관
4135,KM00020401,(청소년을 위한)사진 공부,홍상표 지음,지노,2019,662 홍52ㅅ c.2,2021-07-12,대출가능,도서관
4136,KM00020400,우리가 몰랐던 우리음악 이야기,박소영 지음,구름서재,2018,679 박434ㅇ c.4,2021-07-12,대출가능,도서관
4137,KM00020399,우리가 몰랐던 우리음악 이야기,박소영 지음,구름서재,2018,679 박434ㅇ c.3,2021-07-12,대출가능,도서관
4138,KM00020398,"플라스티키, 바다를 구해줘",데이비드 드 로스차일드 지음;우진하 옮김,북로드,2013,980.29 로57ㅍ c.3,2021-07-12,대출가능,도서관
4139,KM00020397,"플라스티키, 바다를 구해줘",데이비드 드 로스차일드 지음;우진하 옮김,북로드,2013,980.29 로57ㅍ c.2,2021-07-12,대출가능,도서관
4140,KM00020396,최원형의 청소년 소비 특강,최원형 지음,철수와영희,2017,539.49 최66ㅊ c.4,2021-07-12,대출가능,도서관
4141,KM00020395,최원형의 청소년 소비 특강,최원형 지음,철수와영희,2017,539.49 최66ㅊ c.3,2021-07-12,대출가능,도서관
4142,KM00020394,지구인의 도시 사용법,박경화 지음,휴,2021,331.47 박14ㅈ c.2,2021-07-12,대출가능,도서관
4143,KM00020393,지구인의 도시 사용법,박경화 지음,휴,2021,331.47 박14ㅈ,2021-07-12,대출가능,도서관
4144,KM00020392,폴리네시아에서 온 아이,코슈카 지음;톰 오구마 그림;곽노경 옮김,라임,2019,863 코56ㅍ c.3,2021-07-12,대출가능,도서관
4145,KM00020391,폴리네시아에서 온 아이,코슈카 지음;톰 오구마 그림;곽노경 옮김,라임,2019,863 코56ㅍ c.2,2021-07-12,대출가능,도서관
4146,KM00020390,전기 없이 우아하게,사이토 겐이치로 지음;이소담 옮김,티티,2020,539.9 사68ㅈ c.2,2021-07-12,대출가능,도서관
4147,KM00020389,전기 없이 우아하게,사이토 겐이치로 지음;이소담 옮김,티티,2020,539.9 사68ㅈ,2021-07-12,대출가능,도서관
4148,KM00020388,마우나케아의 어떤 밤,트린 주안 투안 지음;이재형 옮김,파우제,2018,440.4 투62ㅁ c.2,2021-07-12,대출가능,도서관
4149,KM00020387,마우나케아의 어떤 밤,트린 주안 투안 지음;이재형 옮김,파우제,2018,440.4 투62ㅁ,2021-07-12,대출가능,도서관
4150,KM00020386,천년 그림 속 의학 이야기,이승구 지음,생각정거장,2017,510.9 이57ㅊ c.2,2021-07-12,대출가능,도서관
4151,KM00020385,천년 그림 속 의학 이야기,이승구 지음,생각정거장,2017,510.9 이57ㅊ,2021-07-12,대출가능,도서관
4152,KM00020384,동고비와 함께한 80일,김성호 지음·사진,지성사,2010,498.994 김54ㄷ c.2,2021-07-12,대출가능,도서관
4153,KM00020383,동고비와 함께한 80일,김성호 지음·사진,지성사,2010,498.994 김54ㄷ,2021-07-12,대출가능,도서관
4154,KM00020382,포토 아크:사진으로 엮은 생명의 방주,조엘 사토리 [글·사진];권기호 옮김,사이언스북스,2019,668.49 사885ㅍ c.3,2021-07-12,대출가능,도서관
4155,KM00020381,포토 아크:사진으로 엮은 생명의 방주,조엘 사토리 [글·사진];권기호 옮김,사이언스북스,2019,668.49 사885ㅍ c.2,2021-07-12,대출가능,도서관
4156,KM00020380,마음이 살짝 기운다,나태주 지음;로아 그림,알에이치코리아,2019,811.6 나883ㅁ c.3,2021-07-12,대출가능,도서관
4157,KM00020379,마음이 살짝 기운다,나태주 지음;로아 그림,알에이치코리아,2019,811.6 나883ㅁ c.2,2021-07-12,대출가능,도서관
4158,KM00020378,내 언어에 속지 않는 법,허새로미 지음,현암사,2019,740.7 허53ㄴ c.3,2021-07-12,대출가능,도서관
4159,KM00020377,내 언어에 속지 않는 법,허새로미 지음,현암사,2019,740.7 허53ㄴ c.2,2021-07-12,대출가능,도서관
4160,KM00020376,"왜요, 그 말이 어때서요?",김청연 지음;코피루왁 그림,동녘,2019,701 김83ㅇ c.3,2021-07-12,대출가능,도서관
4161,KM00020375,"왜요, 그 말이 어때서요?",김청연 지음;코피루왁 그림,동녘,2019,701 김83ㅇ c.2,2021-07-12,대출가능,도서관
4162,KM00020374,고운 마음 꽃이 되고 고운 말은 빛이 되고,이해인 지음,샘터,2017,199.1 이93ㄱ c.3,2021-07-12,대출가능,도서관
4163,KM00020373,고운 마음 꽃이 되고 고운 말은 빛이 되고,이해인 지음,샘터,2017,199.1 이93ㄱ c.2,2021-07-12,대출가능,도서관
4164,KM00020372,아흔일곱 번의 봄여름가을겨울,이옥남 씀,양철북,2018,818 이65ㅇ c.4,2021-07-12,대출가능,도서관
4165,KM00020371,아흔일곱 번의 봄여름가을겨울,이옥남 씀,양철북,2018,818 이65ㅇ c.3,2021-07-12,대출가능,도서관
4166,KM00020370,"에고, Ego! 詩 쓰기 프로젝트",이강휘 지음,이담북스,2018,802 이12ㅇ c.2,2021-07-12,대출가능,도서관
4167,KM00020369,"에고, Ego! 詩 쓰기 프로젝트",이강휘 지음,이담북스,2018,802 이12ㅇ,2021-07-12,대출가능,도서관
4168,KM00020368,"그래, 잠시만 도망가자",이종범 지음,위즈덤하우스,2018,818 이75ㄱ c.3,2021-07-12,대출가능,도서관
4169,KM00020367,"그래, 잠시만 도망가자",이종범 지음,위즈덤하우스,2018,818 이75ㄱ c.2,2021-07-12,대출가능,도서관
4170,KM00020366,나는 나를 돌봅니다,박진영 지음,우리학교,2019,189 박78ㄴ c.3,2021-07-12,대출가능,도서관
4171,KM00020365,나는 나를 돌봅니다,박진영 지음,우리학교,2019,189 박78ㄴ c.2,2021-07-12,대출가능,도서관
4172,KM00020364,예술가가 사랑한 집,이케가미 히데히로 지음;류순미 옮김,페이퍼스토리,2020,609 이874ㅇ c.2,2021-07-12,대출가능,도서관
4173,KM00020363,예술가가 사랑한 집,이케가미 히데히로 지음;류순미 옮김,페이퍼스토리,2020,609 이874ㅇ,2021-07-12,대출가능,도서관
4174,KM00020362,파밍보이즈!,유지황 글;비상식량;콘텐츠나무 [공]사진,남해의봄날,2017,980.24 유78ㅍ c.2,2021-07-12,대출가능,도서관
4175,KM00020361,파밍보이즈!,유지황 글;비상식량;콘텐츠나무 [공]사진,남해의봄날,2017,980.24 유78ㅍ,2021-07-12,대출가능,도서관
4176,KM00020360,서울 사는 나무,장세이 글·사진,목수책방,2015,480.4 장54ㅅ c.2,2021-07-12,대출가능,도서관
4177,KM00020359,서울 사는 나무,장세이 글·사진,목수책방,2015,480.4 장54ㅅ,2021-07-12,대출가능,도서관
4178,KM00020358,우물밖 여고생,슬구 글·그림,푸른향기,2016,981.302 슬16ㅇ c.2,2021-07-12,대출가능,도서관
4179,KM00020357,우물밖 여고생,슬구 글·그림,푸른향기,2016,981.302 슬16ㅇ,2021-07-12,대출가능,도서관
4180,KM00020356,저 청소일 하는데요?,김예지 글·그림,21세기북스,2019,818 김64ㅈ c.3,2021-07-12,대출가능,도서관
4181,KM00020355,저 청소일 하는데요?,김예지 글·그림,21세기북스,2019,818 김64ㅈ c.2,2021-07-12,대출가능,도서관
4182,KM00020354,당당하게 실망시키기,오즈게 사만즈 글·그림;천미나 옮김,책과콩나무,2018,843 사32ㄷ c.2,2021-07-12,대출가능,도서관
4183,KM00020353,당당하게 실망시키기,오즈게 사만즈 글·그림;천미나 옮김,책과콩나무,2018,843 사32ㄷ,2021-07-12,대출가능,도서관
4184,KM00020352,까대기,이종철 만화,보리,2019,657.1 이75ㄲ c.3,2021-07-12,대출가능,도서관
4185,KM00020351,까대기,이종철 만화,보리,2019,657.1 이75ㄲ c.2,2021-07-12,대출가능,도서관
4186,KM00020350,연의 편지,조현아 글·그림,손봄북스,2019,813.7 조94ㅇ c.3,2021-07-12,대출가능,도서관
4187,KM00020349,연의 편지,조현아 글·그림,손봄북스,2019,813.7 조94ㅇ c.2,2021-07-12,대출가능,도서관
4188,KM00020348,피터 히스토리아. 2: 불멸의 소년과 떠나는 역사 시간여행,교육공동체 나다 글,북인더갭,2011,909 교66ㅍ v.2 c.3,2021-07-12,대출가능,도서관
4189,KM00020347,피터 히스토리아. 2: 불멸의 소년과 떠나는 역사 시간여행,교육공동체 나다 글,북인더갭,2011,909 교66ㅍ v.2 c.2,2021-07-12,대출가능,도서관
4190,KM00020346,피터 히스토리아. 1,교육공동체 나다 글;송동근 그림,북인더갭,2011,909 교66ㅍ v.1 c.3,2021-07-12,대출가능,도서관
4191,KM00020345,피터 히스토리아. 1,교육공동체 나다 글;송동근 그림,북인더갭,2011,909 교66ㅍ v.1 c.2,2021-07-12,대출가능,도서관
4192,KM00020344,"지도를 모으는 소녀, 고래를 쫓는 소년",왕수펀 지음;조윤진 옮김,블랙홀,2018,823.7 왕56ㅈ c.4,2021-07-12,대출가능,도서관
4193,KM00020343,"지도를 모으는 소녀, 고래를 쫓는 소년",왕수펀 지음;조윤진 옮김,블랙홀,2018,823.7 왕56ㅈ c.3,2021-07-12,대출가능,도서관
4194,KM00020342,썸머썸머 베케이션,이희영 지음,살림Friends,2017,813.6 이97ㅆ c.2,2021-07-12,대출가능,도서관
4195,KM00020341,썸머썸머 베케이션,이희영 지음,살림Friends,2017,813.6 이97ㅆ,2021-07-12,대출가능,도서관
4196,KM00020340,사춘기라서 그래?,이명랑 지음,탐,2015,813.6 이34ㅅ c.4,2021-07-12,대출가능,도서관
4197,KM00020339,사춘기라서 그래?,이명랑 지음,탐,2015,813.6 이34ㅅ c.3,2021-07-12,대출가능,도서관
4198,KM00020338,너만 모르는 엔딩,최영희 지음,사계절,2018,813.6 최64ㄴ c.4,2021-07-12,대출가능,도서관
4199,KM00020337,너만 모르는 엔딩,최영희 지음,사계절,2018,813.6 최64ㄴ c.3,2021-07-12,대출가능,도서관
4200,KM00020336,2120년에서 친구가 찾아왔다,안야 슈튀르처 글;율리아 뒤어 그림;김완균 옮김,푸른숲주니어,2016,853 슈886ㅇ c.2,2021-07-12,대출가능,도서관
4201,KM00020335,2120년에서 친구가 찾아왔다,안야 슈튀르처 글;율리아 뒤어 그림;김완균 옮김,푸른숲주니어,2016,853 슈886ㅇ,2021-07-12,대출가능,도서관
4202,KM00020334,화가의 출세작,이유리 지음,서해문집,2020,650.9 이66ㅎ c.2,2021-07-12,대출가능,도서관
4203,KM00020333,화가의 출세작,이유리 지음,서해문집,2020,650.9 이66ㅎ,2021-07-12,대출가능,도서관
4204,KM00020332,나혼자 음악회,이현모 지음;김인하 삽화,다울림,2019,670.4 이94ㄴ c.2,2021-07-12,대출가능,도서관
4205,KM00020331,나혼자 음악회,이현모 지음;김인하 삽화,다울림,2019,670.4 이94ㄴ,2021-07-12,대출가능,도서관
4206,KM00020330,1일 1미술 1교양. 2: 사실주의~20세기 미술,서정욱 지음,큐리어스,2020,609.2 서74ㅇ v.2 c.2,2021-07-12,대출가능,도서관
4207,KM00020329,1일 1미술 1교양. 2: 사실주의~20세기 미술,서정욱 지음,큐리어스,2020,609.2 서74ㅇ v.2,2021-07-12,대출가능,도서관
4208,KM00020328,1일 1미술 1교양. 1: 원시미술~낭만주의,서정욱 지음,큐리어스,2020,609.2 서74ㅇ v.1 c.2,2021-07-12,대출가능,도서관
4209,KM00020327,1일 1미술 1교양. 1: 원시미술~낭만주의,서정욱 지음,큐리어스,2020,609.2 서74ㅇ v.1,2021-07-12,대출가능,도서관
4210,KM00020326,(EBS 다큐프라임)인류세,최평순;다큐프라임 <인류세> 제작팀 [공]지음,해나무,2020,472.52 최894ㅇ c.2,2021-07-12,대출가능,도서관
4211,KM00020325,(EBS 다큐프라임)인류세,최평순;다큐프라임 <인류세> 제작팀 [공]지음,해나무,2020,472.52 최894ㅇ,2021-07-12,대출가능,도서관
4212,KM00020324,"나는 풍요로웠고, 지구는 달라졌다",호프 자런 지음;김은령 옮김,김영사,2020,539.92 자294ㄴ c.2,2021-07-12,대출가능,도서관
4213,KM00020323,"나는 풍요로웠고, 지구는 달라졌다",호프 자런 지음;김은령 옮김,김영사,2020,539.92 자294ㄴ,2021-07-12,대출가능,도서관
4214,KM00020322,우리가 과학을 사랑하는 법,곽재식 지음;여치 그림,위즈덤하우스,2019,409.9 곽73ㅇ c.3,2021-07-12,대출가능,도서관
4215,KM00020321,우리가 과학을 사랑하는 법,곽재식 지음;여치 그림,위즈덤하우스,2019,409.9 곽73ㅇ c.2,2021-07-12,대출가능,도서관
4216,KM00020320,아마존 탐사기,전종윤 지음,지오북,2019,985.02 전75ㅇ c.2,2021-07-12,대출가능,도서관
4217,KM00020319,아마존 탐사기,전종윤 지음,지오북,2019,985.02 전75ㅇ,2021-07-12,대출가능,도서관
4218,KM00020318,"바다, 우리가 사는 곳",핫핑크돌핀스 지음,RiRi,2019,472.52636 핫898ㅂ c.3,2021-07-12,대출가능,도서관
4219,KM00020317,"바다, 우리가 사는 곳",핫핑크돌핀스 지음,RiRi,2019,472.52636 핫898ㅂ c.2,2021-07-12,대출가능,도서관
4220,KM00020316,"십 대, 미래를 과학하라!","정재승, 장동선, 이식, 한대희, 이정모, 고재현, 장수진, 조천호, 황정아, 이강환  지음",청어람미디어,2019,400 정73ㅅ c.3,2021-07-12,대출가능,도서관
4221,KM00020315,"십 대, 미래를 과학하라!","정재승, 장동선, 이식, 한대희, 이정모, 고재현, 장수진, 조천호, 황정아, 이강환  지음",청어람미디어,2019,400 정73ㅅ c.2,2021-07-12,대출가능,도서관
4222,KM00020314,오늘의 법정을 열겠습니다,허승 지음,북트리거,2020,360 허57ㅇ c.2,2021-07-12,분실,도서관
4223,KM00020313,오늘의 법정을 열겠습니다,허승 지음,북트리거,2020,360 허57ㅇ,2021-07-12,대출가능,도서관
4224,KM00020312,그림이 보이고 경제가 읽히는 순간,태지원 지음,자음과모음,2019,601 태78ㄱ c.3,2021-07-12,대출가능,도서관
4225,KM00020311,그림이 보이고 경제가 읽히는 순간,태지원 지음,자음과모음,2019,601 태78ㄱ c.2,2021-07-12,대출가능,도서관
4226,KM00020310,지하철에서 옆자리에 흑인이 앉았다,예롱 글·그림,뿌리와이파리,2019,342.1 예295ㅈ c.2,2021-07-12,대출가능,도서관
4227,KM00020309,지하철에서 옆자리에 흑인이 앉았다,예롱 글·그림,뿌리와이파리,2019,342.1 예295ㅈ,2021-07-12,대출가능,도서관
4228,KM00020308,소설가,레퍼런스 바이 비 [편];최지욱 일러스트,레퍼런스바이비,2020,336.24 레894ㅅ c.2,2021-07-12,대출가능,도서관
4229,KM00020307,소설가,레퍼런스 바이 비 [편];최지욱 일러스트,레퍼런스바이비,2020,336.24 레894ㅅ,2021-07-12,대출가능,도서관
4230,KM00020306,우리는 감염병의 시대를 살고 있습니다,김정민 지음,우리학교,2020,513.97 김74ㅇ c.2,2021-07-12,대출가능,도서관
4231,KM00020305,우리는 감염병의 시대를 살고 있습니다,김정민 지음,우리학교,2020,513.97 김74ㅇ,2021-07-12,대출가능,도서관
4232,KM00020304,오늘부터 나는 세계 시민입니다,공윤희;윤예림 [공]지음;배성규 그림,창비교육,2019,330 공66ㅇ c.3,2021-07-12,대출가능,도서관
4233,KM00020303,오늘부터 나는 세계 시민입니다,공윤희;윤예림 [공]지음;배성규 그림,창비교육,2019,330 공66ㅇ c.2,2021-07-12,대출가능,도서관
4234,KM00020302,세계기록유산 100％ 활용하기,홍덕용 지음,좋은땅,2020,026.99 홍24ㅅ c.2,2021-07-12,대출가능,도서관
4235,KM00020301,세계기록유산 100％ 활용하기,홍덕용 지음,좋은땅,2020,026.99 홍24ㅅ,2021-07-12,대출가능,도서관
4236,KM00020300,달콤한 나의 도시양봉,최우리 지음,나무연필,2020,527.7 최66ㄷ c.2,2021-07-12,대출가능,도서관
4237,KM00020299,달콤한 나의 도시양봉,최우리 지음,나무연필,2020,527.7 최66ㄷ,2021-07-12,대출가능,도서관
4238,KM00020298,유튜브 쫌 아는 10대,금준경 글;하루치 그림,풀빛,2019,308 사95 v.4 c.3,2021-07-12,대출가능,도서관
4239,KM00020297,유튜브 쫌 아는 10대,금준경 글;하루치 그림,풀빛,2019,308 사95 v.4 c.2,2021-07-12,대출가능,도서관
4240,KM00020296,나의 비거니즘 만화,보선 글·그림,푸른숲,2021,517.548 보54ㄴ c.2,2021-07-12,대출가능,도서관
4241,KM00020295,나의 비거니즘 만화,보선 글·그림,푸른숲,2021,517.548 보54ㄴ,2021-07-12,대출가능,도서관
4242,KM00020294,유원,백온유 지음,창비,2020,813.6 백65ㅇ c.3,2021-07-12,대출가능,도서관
4243,KM00020293,유원,백온유 지음,창비,2020,813.6 백65ㅇ c.2,2021-07-12,대출가능,도서관
4244,KM00020292,오일러 패러독스,김상미 지음,궁리,2021,813.6 김52ㅇ c.2,2021-07-12,대출가능,도서관
4245,KM00020291,오일러 패러독스,김상미 지음,궁리,2021,813.6 김52ㅇ,2021-07-12,대출가능,도서관
4246,KM00020290,식스팩,이재문 지음,자음과모음,2020,813.6 이73ㅅ c.3,2021-07-12,대출가능,도서관
4247,KM00020289,식스팩,이재문 지음,자음과모음,2020,813.6 이73ㅅ c.2,2021-07-12,대출가능,도서관
4248,KM00020288,사랑에 빠질 때 나누는 말들,탁경은 지음,사계절,2019,813.6 탁14ㅅ c.3,2021-07-12,대출가능,도서관
4249,KM00020287,사랑에 빠질 때 나누는 말들,탁경은 지음,사계절,2019,813.6 탁14ㅅ c.2,2021-07-12,대출가능,도서관
4250,KM00020286,녹두밭의 은하수,안오일 지음,다른,2020,813.6 안65ㄴ c.2,2021-07-12,대출가능,도서관
4251,KM00020285,녹두밭의 은하수,안오일 지음,다른,2020,813.6 안65ㄴ,2021-07-12,대출가능,도서관
4252,KM00020284,그 애를 만나다,유니게 지음,푸른책들,2019,813.6 유198ㄱ c.3,2021-07-12,대출가능,도서관
4253,KM00020283,그 애를 만나다,유니게 지음,푸른책들,2019,813.6 유198ㄱ c.2,2021-07-12,대출가능,도서관
4254,KM00020282,코딩하는 소녀,타마라 아일랜드 스톤 지음;김선영 옮김,라임,2018,843 스885ㅋ c.2,2021-07-12,대출가능,도서관
4255,KM00020281,코딩하는 소녀,타마라 아일랜드 스톤 지음;김선영 옮김,라임,2018,843 스885ㅋ,2021-07-12,대출가능,도서관
4256,KM00020280,엄마 카드로 사고 쳤는데 어쩌지?,피트 호트먼 지음;최설희 옮김,뜨인돌,2019,843 호887ㅇ c.2,2021-07-12,대출가능,도서관
4257,KM00020279,엄마 카드로 사고 쳤는데 어쩌지?,피트 호트먼 지음;최설희 옮김,뜨인돌,2019,843 호887ㅇ,2021-07-12,대출가능,도서관
4258,KM00020278,맹탐정 고민 상담소,이선주 지음,문학동네,2019,813.6 이54ㅁ c.3,2021-07-12,대출가능,도서관
4259,KM00020277,맹탐정 고민 상담소,이선주 지음,문학동네,2019,813.6 이54ㅁ c.2,2021-07-12,대출가능,도서관
4260,KM00020276,왕자와 드레스메이커,젠 왕 지음 ;김지은 옮김,비룡소,2021,843 왕74ㅇ c.2,2021-07-12,대출가능,도서관
4261,KM00020275,왕자와 드레스메이커,젠 왕 지음 ;김지은 옮김,비룡소,2021,843 왕74ㅇ,2021-07-12,대출가능,도서관
4262,KM00020274,리얼 마래,황지영 지음;안경미 그림,문학과지성사,2018,813.8 황78ㄹ c.2,2021-07-12,대출가능,도서관
4263,KM00020273,리얼 마래,황지영 지음;안경미 그림,문학과지성사,2018,813.8 황78ㄹ,2021-07-12,대출가능,도서관
4264,KM00020272,신녀의 서. 3,김민경 지음,청어람,2015,813.6 김38ㅅ v.3,2021-07-12,대출가능,도서관
4265,KM00020271,신녀의 서. 2,김민경 지음,청어람,2015,813.6 김38ㅅ v.2,2021-07-12,대출가능,도서관
4266,KM00020270,신녀의 서. 1,김민경 지음,청어람,2015,813.6 김38ㅅ v.1,2021-07-12,대출가능,도서관
4267,KM00020269,뉴턴이 들려주는 미분 2 이야기,김승태 지음,자음과모음,2009,410 김57ㄴ,2021-07-12,대출가능,도서관
4268,KM00020268,(뉴턴이 들려주는)미분 1 이야기,김승태 지음,자음과모음,2009,410 김57ㅁ,2021-07-12,대출가능,도서관
4269,KM00020267,너는 기억 못하겠지만,후지마루 지음;김은모 옮김,아르테,2021,833.6 후78ㄴ,2021-07-12,대출가능,도서관
